Horses,1st,2nd,3rd,starts,win,place,roi
Iron Lion,1,0,0,4,25.0,25.0,375.00
Bayendi,1,0,1,3,33.3,66.7,46.67
Foxsult,1,0,0,6,16.7,16.7,83.33
Zaratite,1,1,0,3,33.3,66.7,-26.67
I'm Icey,1,0,1,4,25.0,50.0,5.00
Santa Anita,1,1,0,4,25.0,50.0,-69.00
Fascination,1,0,0,4,25.0,25.0,-27.50
Pletto,1,1,1,3,33.3,100.0,-13.33
Bobcat Boy,1,1,2,11,9.1,36.4,-22.73
Wineglass Bay,1,0,0,8,12.5,12.5,537.50
Terirem,1,1,2,11,9.1,36.4,-75.45
American Soul,1,0,0,4,25.0,25.0,-35.00
Joe's Pride,1,0,0,5,20.0,20.0,20.00
Go Straightandhard,1,0,2,6,16.7,50.0,-70.00
Northern Wilderose,1,1,0,4,25.0,50.0,-20.00
Little Bita Spunk,1,0,0,1,100.0,100.0,270.00
Fruedinks,1,0,0,2,50.0,50.0,200.00
Penasquito,1,0,0,5,20.0,20.0,520.00
Miss Warny,1,0,0,5,20.0,20.0,-12.00
Malverna,1,0,0,6,16.7,16.7,150.00
One More Legend,1,1,0,3,33.3,66.7,366.67
Encendio,1,0,0,7,14.3,14.3,-14.29
I Am Impressed,1,0,0,5,20.0,20.0,200.00
Ceebiz Kit,1,1,1,7,14.3,42.9,-40.00
Port Triano,1,1,2,8,12.5,50.0,-57.50
Trophy Cabinet,1,0,0,2,50.0,50.0,225.00
Aroha Diamond,1,0,0,5,20.0,20.0,180.00
Bard of Armagh,1,0,2,5,20.0,60.0,-71.00
Night Attire,1,0,1,4,25.0,50.0,15.00
Syamantaka Mani,1,0,3,9,11.1,44.4,133.33
Invincible Pride,1,0,0,2,50.0,50.0,90.00
Preliminaires,1,0,0,2,50.0,50.0,950.00
Punch The Clock,1,0,1,3,33.3,66.7,60.00
Avalon Bay,1,1,0,3,33.3,66.7,-13.33
The Abyss,1,0,0,7,14.3,14.3,171.43
Speeding Bullet,1,0,1,11,9.1,18.2,-9.09
Florence Jay,1,0,0,2,50.0,50.0,35.00
Arigold,1,0,1,6,16.7,33.3,41.67
Wyendra,1,0,0,3,33.3,33.3,0.00
Ohm's Law,1,0,0,4,25.0,25.0,225.00
Miss Fontangle,1,0,0,1,100.0,100.0,1000.00
Lookin' Alive,1,1,0,8,12.5,25.0,-80.00
Visual Image,1,0,0,11,9.1,9.1,-13.64
Kendel's Mee Dad,1,0,1,5,20.0,40.0,40.00
Son of a Coat,1,0,0,11,9.1,9.1,-36.36
All That Sizzle,1,1,1,9,11.1,33.3,33.33
Corporate Takeover,1,0,0,4,25.0,25.0,675.00
Iz That Right,1,0,1,4,25.0,50.0,-5.00
Leonarda,1,1,0,9,11.1,22.2,-53.33
Sally's Spirit,1,0,0,10,10.0,10.0,30.00
Stolen Gift,1,0,0,7,14.3,14.3,185.71
Aali Mia,1,0,2,11,9.1,27.3,-79.09
Mishani Ruler,1,0,1,7,14.3,28.6,-72.86
Bella Luciana,1,0,0,3,33.3,33.3,23.33
Hologram,1,0,1,8,12.5,25.0,-52.50
Action in Rio,1,0,3,11,9.1,36.4,-78.18
Larrikin,1,0,0,6,16.7,16.7,16.67
Chase the Wind,1,1,0,2,50.0,100.0,-5.00
Wookiee,1,0,0,5,20.0,20.0,60.00
Future Road,1,1,1,9,11.1,33.3,44.44
Joan Constance,1,0,0,4,25.0,25.0,-51.25
Western Prussia,1,0,3,10,10.0,40.0,-30.00
Sneaky Sniper,1,0,1,9,11.1,22.2,33.33
Mort Doyle,1,0,1,2,50.0,100.0,90.00
Woman of Gold,1,0,1,2,50.0,100.0,-2.50
Mark of the Class,1,0,0,10,10.0,10.0,210.00
Our Dilemma,1,0,1,2,50.0,100.0,55.00
Affinity Belle,1,0,0,6,16.7,16.7,25.00
Blue Dewar,1,1,1,3,33.3,100.0,40.00
Dextiny,1,2,0,4,25.0,75.0,-42.50
Allaru,1,1,1,12,8.3,25.0,-69.17
Denim Street,1,0,0,5,20.0,20.0,40.00
Betajet,1,1,2,8,12.5,50.0,-65.00
Dynabelle,1,1,0,6,16.7,33.3,-38.33
My Zarmidala,1,0,0,6,16.7,16.7,-30.00
Escapado,1,1,0,5,20.0,40.0,-48.00
Counting Crows,1,0,1,4,25.0,50.0,2425.00
Gravity,1,0,0,6,16.7,16.7,-63.33
All That She Wants,1,0,0,6,16.7,16.7,-26.67
Deep Melody,1,1,0,3,33.3,66.7,100.00
Sacred Sister,1,0,0,4,25.0,25.0,25.00
Sir Rotheway,1,1,0,5,20.0,40.0,-28.00
Royal Warfare,1,0,1,5,20.0,40.0,520.00
Golden Bonney,1,1,0,6,16.7,33.3,8.33
The Escort,1,0,0,5,20.0,20.0,140.00
Miss Blumenthal,1,0,1,5,20.0,40.0,-32.00
Deal Master,1,0,0,7,14.3,14.3,14.29
Atticus,1,0,1,7,14.3,28.6,-100.00
Rostock,1,0,0,6,16.7,16.7,50.00
Our Foxwedge,1,0,0,5,20.0,20.0,-16.00
Destiny Ambush,1,0,0,6,16.7,16.7,133.33
Star of O'reilly,1,0,0,3,33.3,33.3,60.00
Master Of Norway,1,0,3,7,14.3,57.1,185.71
Fields Avenue,1,1,0,4,25.0,50.0,-15.00
Schindler,1,1,0,5,20.0,40.0,10.00
Ladyada,1,1,0,4,25.0,50.0,37.50
Nasifa,1,1,0,3,33.3,66.7,-33.33
Binding Force,1,1,0,2,50.0,100.0,75.00
Bold Kingston,1,1,2,9,11.1,44.4,-22.22
Princely,1,0,1,12,8.3,16.7,158.33
Athlone Castle,1,1,0,6,16.7,33.3,-51.67
Mrs Dash,1,0,0,4,25.0,25.0,250.00
Magic Pegasus,1,1,0,10,10.0,20.0,-20.00
Wahini Miss,1,0,0,6,16.7,16.7,25.00
Secrets She Has,1,0,0,6,16.7,16.7,-72.50
Sudden Impulse,1,1,0,6,16.7,33.3,100.00
Camillo,1,0,0,4,25.0,25.0,-30.00
Pontivy,1,0,0,2,50.0,50.0,45.00
All Cooped Up,1,0,0,2,50.0,50.0,90.00
Greyazz,1,0,0,3,33.3,33.3,100.00
Hadda Couple,1,0,0,4,25.0,25.0,675.00
Mo's Glory,1,0,1,3,33.3,66.7,-6.67
So Inspiring,1,1,1,10,10.0,30.0,-25.00
He's Our Woody,1,0,0,1,100.0,100.0,75.00
Hot Saga,1,0,0,11,9.1,9.1,136.36
Brooke,1,0,1,8,12.5,25.0,-76.25
Our Instinct,1,0,0,9,11.1,11.1,244.44
Dreamy Dragon,1,0,0,6,16.7,16.7,150.00
Sweet Knuckle,1,0,1,2,50.0,100.0,650.00
National Park,1,0,1,2,50.0,100.0,130.00
Red Heavy,1,1,1,7,14.3,42.9,-54.29
Perfect,1,0,1,2,50.0,100.0,140.00
Golden Light,1,0,0,10,10.0,10.0,-52.00
Red Facets,1,0,1,4,25.0,50.0,112.50
Landmine,1,0,1,3,33.3,66.7,26.67
Desirada,1,0,0,2,50.0,50.0,450.00
Quideem,1,0,1,2,50.0,100.0,2450.00
Swidini,1,0,0,4,25.0,25.0,100.00
Boom Gate,1,0,1,2,50.0,100.0,800.00
Rule'emoff,1,1,1,6,16.7,50.0,-48.33
Crown Choice,1,0,1,12,8.3,16.7,75.00
Wonga Miss,1,0,0,8,12.5,12.5,-37.50
Bonfire Gold,1,0,0,4,25.0,25.0,75.00
Bantry,1,0,0,10,10.0,10.0,-58.00
Roobeena,1,0,0,3,33.3,33.3,-21.67
Social,1,0,0,3,33.3,33.3,3.33
Hey Dude,1,1,2,8,12.5,50.0,-31.25
Dead Reckoning,1,0,0,6,16.7,16.7,250.00
Card Tricks,1,0,0,6,16.7,16.7,233.33
Love Bites,1,0,0,6,16.7,16.7,416.67
Kazoom,1,1,0,8,12.5,25.0,-6.25
Sensational Effort,1,0,0,2,50.0,50.0,275.00
Safdie,1,3,0,7,14.3,57.1,-37.14
Purrpussful,1,0,0,5,20.0,20.0,60.00
Princely Blaze,1,0,1,15,6.7,13.3,20.00
Certain Riches,1,0,0,6,16.7,16.7,100.00
Jade Reef,1,1,1,5,20.0,60.0,-74.80
Radiant Success,1,0,0,2,50.0,50.0,35.00
Montalbano,1,0,0,2,50.0,50.0,950.00
Sasha Fierce,1,0,0,9,11.1,11.1,100.00
Defence Witness,1,0,0,5,20.0,20.0,-4.00
Siege of Ennis,1,0,1,8,12.5,25.0,1162.50
Beaudragon,1,0,0,2,50.0,50.0,300.00
Another Prince,1,0,0,2,50.0,50.0,900.00
Crystal Mill,1,0,0,4,25.0,25.0,1425.00
Painter's Reward,1,1,1,6,16.7,50.0,-65.00
He's Stirling,1,0,1,4,25.0,50.0,325.00
Autumn Street,1,0,1,7,14.3,28.6,-47.14
Louise of Glencoe,1,0,0,4,25.0,25.0,175.00
Secret Diamond,1,0,0,4,25.0,25.0,87.50
Desert Duel,1,0,0,11,9.1,9.1,363.64
Upper East Side,1,0,0,3,33.3,33.3,216.67
Silent Savings,1,0,1,6,16.7,33.3,-20.00
Quick Quill,1,0,1,9,11.1,22.2,-22.22
Spotakova,1,2,0,9,11.1,33.3,-68.89
Game Of Love,1,0,0,2,50.0,50.0,150.00
Littlerayov,1,0,1,4,25.0,50.0,1175.00
Don't Retreat,1,0,0,4,25.0,25.0,87.50
Duchy's Revenge,1,0,0,3,33.3,33.3,933.33
Rockaroo,1,0,0,2,50.0,50.0,550.00
Shield Wall,1,0,0,3,33.3,33.3,3.33
Limbo Star,1,0,1,8,12.5,25.0,-65.00
Let's Go to Rio,1,1,1,5,20.0,60.0,100.00
Spiegel Grove,1,1,1,8,12.5,37.5,-71.25
Delta Rose,1,0,0,5,20.0,20.0,90.00
Family Values,1,0,1,5,20.0,40.0,200.00
Fly Away Peter,1,0,0,11,9.1,9.1,45.45
Elsa's Tribe,1,0,0,8,12.5,12.5,25.00
Tomahawk Lad,1,0,1,10,10.0,20.0,-81.50
Precognition,1,0,0,4,25.0,25.0,375.00
John's Last Song,1,0,1,12,8.3,16.7,-33.33
Venezuela,1,0,0,2,50.0,50.0,45.00
Blackberry,1,0,0,5,20.0,20.0,240.00
Sheru,1,0,3,9,11.1,44.4,-55.56
Carley Emily,1,1,0,5,20.0,40.0,-69.00
Sommernachtstraum,1,0,0,10,10.0,10.0,-35.00
Falcon Rubi,1,1,0,21,4.8,9.5,-87.14
Swanhilde,1,0,0,7,14.3,14.3,342.86
The Perpetrator,1,0,0,8,12.5,12.5,-63.75
Simply Sacred,1,0,0,3,33.3,33.3,-41.67
Savvy Rock,1,0,0,3,33.3,33.3,3266.67
Reindeer Moon,1,0,0,3,33.3,33.3,-45.00
Rosy Elsie,1,1,0,9,11.1,22.2,-73.33
Cool Mover,1,0,0,5,20.0,20.0,-65.00
The Beach,1,0,1,3,33.3,66.7,166.67
Tenacity,1,1,0,2,50.0,100.0,30.00
Howling Wolf,1,1,1,9,11.1,33.3,-64.44
Zaxti,1,0,1,7,14.3,28.6,-52.86
Sobrero,1,1,1,4,25.0,75.0,75.00
Kingly,1,0,0,3,33.3,33.3,23.33
Keep On Loving You,1,0,1,5,20.0,40.0,20.00
Keitaro,1,0,0,6,16.7,16.7,33.33
Let's Tango,1,1,1,7,14.3,42.9,-62.86
Pips 'N' Crowns,1,0,0,6,16.7,16.7,416.67
Succhiotto,1,0,0,4,25.0,25.0,250.00
Deecember,1,0,1,3,33.3,66.7,33.33
Jimassi,1,1,1,7,14.3,42.9,71.43
Bel's Lad,1,0,0,3,33.3,33.3,233.33
You Watching Me,1,1,0,7,14.3,28.6,7.14
White Jade,1,1,2,8,12.5,50.0,50.00
Red Epic,1,0,2,7,14.3,42.9,-54.29
Triple Strip,1,0,1,3,33.3,66.7,-55.00
Grey Sambucca,1,0,2,7,14.3,42.9,342.86
Super Kids,1,0,0,4,25.0,25.0,925.00
King Kazou,1,0,1,5,20.0,40.0,-30.00
Man With A Plan,1,0,0,5,20.0,20.0,120.00
Ramingining,1,0,0,4,25.0,25.0,75.00
Princess Tara,1,0,0,5,20.0,20.0,-4.00
Burning Man,1,1,0,3,33.3,66.7,33.33
Zaaladd,1,0,2,13,7.7,23.1,-46.15
Kirin's Lad,1,0,0,3,33.3,33.3,366.67
Save Me Ned,1,1,0,5,20.0,40.0,60.00
Punto Nero,1,0,0,4,25.0,25.0,175.00
Disco Rebel,1,1,2,9,11.1,44.4,-57.78
Flirty McCoy,1,0,0,7,14.3,14.3,-21.43
Favor of God,1,0,0,7,14.3,14.3,-65.71
Tatoi,1,1,0,12,8.3,16.7,-76.67
Moreska Sword,1,0,0,6,16.7,16.7,-45.00
Umawinner,1,0,1,2,50.0,100.0,12.50
Craiglea Simmo,1,0,1,5,20.0,40.0,320.00
Mac's Gal,1,1,0,5,20.0,40.0,-12.00
Financial Support,1,0,0,2,50.0,50.0,175.00
Redeemable,1,0,0,4,25.0,25.0,112.50
Volontiers,1,0,1,7,14.3,28.6,28.57
Gee Gees Jet,1,0,0,5,20.0,20.0,-26.00
Royal Planet,1,1,0,6,16.7,33.3,50.00
El Teniente,1,1,0,9,11.1,22.2,-38.89
Ozark,1,0,0,1,100.0,100.0,110.00
Rocky Nugget,1,0,0,3,33.3,33.3,233.33
Sapphire Gift,1,0,0,4,25.0,25.0,225.00
Drivin' Me Wild,1,0,0,8,12.5,12.5,287.50
Electric Shadow,1,0,0,3,33.3,33.3,83.33
Sporting Image,1,0,4,8,12.5,62.5,-40.00
Skipper Joe,1,1,0,7,14.3,28.6,-55.71
Siroccan Lad,1,0,0,4,25.0,25.0,-5.00
Clairvue,1,0,1,3,33.3,66.7,66.67
Samuel James,1,0,0,1,100.0,100.0,450.00
Dr Dependable,1,0,1,5,20.0,40.0,-56.00
The Dream Giver,1,0,0,3,33.3,33.3,-3.33
General Assault,1,0,1,8,12.5,25.0,62.50
Galcrum,1,0,1,5,20.0,40.0,0.00
Poppy's Freckle,1,0,0,3,33.3,33.3,600.00
Mr Liberty,1,1,0,7,14.3,28.6,-37.14
Binary,1,0,0,2,50.0,50.0,-7.50
Hollaback Girl,1,0,0,1,100.0,100.0,160.00
Paradini,1,1,0,5,20.0,40.0,50.00
Excellent Jerry,1,0,0,8,12.5,12.5,412.50
Red Glow,1,0,0,8,12.5,12.5,62.50
Ready's Queen,1,0,0,12,8.3,8.3,158.33
Trade Tower,1,0,0,3,33.3,33.3,216.67
Free Hand,1,1,0,4,25.0,50.0,-42.50
Bulltruck,1,0,1,8,12.5,25.0,-78.75
Heaven's Delight,1,0,1,9,11.1,22.2,-16.67
Golden Esprit,1,0,1,5,20.0,40.0,-44.00
Super Leane,1,0,1,10,10.0,20.0,110.00
Babbinboon Boy,1,0,0,5,20.0,20.0,920.00
The Sparkle Legend,1,0,0,3,33.3,33.3,183.33
Mankell,1,1,0,7,14.3,28.6,14.29
Grand Awakening,1,0,0,5,20.0,20.0,160.00
Goldie's Fortune,1,0,0,5,20.0,20.0,50.00
Conca Del Sogno,1,0,0,4,25.0,25.0,-38.75
Exellas,1,0,0,3,33.3,33.3,100.00
Jeopardise Me,1,0,0,3,33.3,33.3,-16.67
Mambo Italiano,1,0,0,4,25.0,25.0,0.00
Zarafah,1,0,0,3,33.3,33.3,40.00
Bright Belle,1,0,0,3,33.3,33.3,466.67
Riddle Me That,1,0,0,1,100.0,100.0,450.00
Scorpius,1,0,0,1,100.0,100.0,1000.00
Chipsaredown,1,0,0,1,100.0,100.0,300.00
Alabama Express,1,0,0,1,100.0,100.0,320.00
Happy Street,1,0,0,1,100.0,100.0,380.00
Dixie Preacher,1,0,0,2,50.0,50.0,120.00
Bonnchelon,1,0,0,6,16.7,16.7,100.00
Caffrey,1,0,0,1,100.0,100.0,125.00
Kings Iris,1,0,0,2,50.0,50.0,375.00
Bat a Kat,1,0,0,3,33.3,33.3,-26.67
Tom's Knight,1,0,0,1,100.0,100.0,750.00
Three Beans,1,0,0,1,100.0,100.0,50.00
Winning Shot,1,0,0,2,50.0,50.0,80.00
Champagne Elle,1,0,0,6,16.7,16.7,66.67
Zorro Rapido,1,0,0,2,50.0,50.0,0.00
Dual Lane,1,0,0,1,100.0,100.0,320.00
Nearest The Pins,1,0,0,2,50.0,50.0,30.00
Your Desire,1,0,0,2,50.0,50.0,275.00
The Atheist,1,0,0,1,100.0,100.0,240.00
Diver,1,0,0,5,20.0,20.0,-4.00
Roman,1,0,0,1,100.0,100.0,900.00
Alatora,1,0,0,2,50.0,50.0,200.00
Let's Cheer Again,1,0,0,3,33.3,33.3,-3.33
Grinzinger Express,1,0,0,1,100.0,100.0,400.00
Star Rock,1,0,0,2,50.0,50.0,20.00
Single Barrel,1,0,1,12,8.3,16.7,-77.50
Lord Smedley,1,0,0,5,20.0,20.0,60.00
Trumpful,1,0,0,3,33.3,33.3,1600.00
Zanahary,1,0,0,6,16.7,16.7,-38.33
Playful Host,1,1,2,12,8.3,33.3,-25.00
Callisto Moon,1,0,1,2,50.0,100.0,225.00
Callisto Moon,1,0,1,2,50.0,100.0,225.00
Goolburra Guy,1,0,1,6,16.7,33.3,66.67
Lansala,1,0,0,4,25.0,25.0,0.00
Not Again Ken,1,0,0,11,9.1,9.1,-80.91
Empress Zhao,1,2,1,8,12.5,50.0,-31.25
Gorn Hoff,1,0,0,4,25.0,25.0,425.00
Itza Belle,1,1,0,8,12.5,25.0,150.00
Don't Speed,1,0,0,7,14.3,14.3,100.00
Let's Go Champ,1,0,0,3,33.3,33.3,83.33
Bedloe's Island,1,0,3,9,11.1,44.4,-80.56
Beneteau Buoy,1,0,0,3,33.3,33.3,266.67
Light On Ice,1,0,0,5,20.0,20.0,30.00
Burning Magic,1,0,0,9,11.1,11.1,-53.33
Ten Carat,1,0,0,7,14.3,14.3,200.00
Shudakeptim,1,1,0,13,7.7,15.4,-7.69
Marine Corps,1,0,0,4,25.0,25.0,300.00
Prince Of Virtue,1,0,1,2,50.0,100.0,2.50
Cuban Lass,1,1,1,6,16.7,50.0,-8.33
The Scotsman,1,1,1,7,14.3,42.9,114.29
Bonney,1,0,0,4,25.0,25.0,15.00
Zukaz,1,1,0,4,25.0,50.0,-30.00
Harvest Pride,1,0,1,7,14.3,28.6,-65.71
Rayleigh,1,1,0,9,11.1,22.2,11.11
Sweet Taste,1,0,1,7,14.3,28.6,-44.29
Maui Girl,1,0,0,3,33.3,33.3,10.00
Wirraway,1,1,0,3,33.3,66.7,0.00
Angel of Leon,1,0,0,6,16.7,16.7,150.00
Given Evidence,1,0,0,5,20.0,20.0,120.00
Same Again,1,0,0,3,33.3,33.3,1266.67
Sweet Temptations,1,1,0,10,10.0,20.0,110.00
Game On Dude,1,0,2,12,8.3,25.0,-74.17
Merivale Miss,1,0,0,5,20.0,20.0,50.00
Asquillion,1,0,1,8,12.5,25.0,0.00
Bullion Fringe,1,0,0,7,14.3,14.3,-21.43
Ballista,1,0,0,4,25.0,25.0,200.00
Cornforth,1,0,0,5,20.0,20.0,-16.00
Questions Answered,1,0,0,5,20.0,20.0,20.00
Brybeck,1,1,0,7,14.3,28.6,-77.86
Husslin Humph,1,0,0,4,25.0,25.0,-52.50
Bramwell,1,0,0,5,20.0,20.0,140.00
Dream Serenade,1,0,0,3,33.3,33.3,266.67
Wicked Mama,1,0,0,4,25.0,25.0,425.00
Eltizaam,1,0,0,3,33.3,33.3,-13.33
Fertile Soil,1,0,1,2,50.0,100.0,-25.00
Crystal Moment,1,0,0,9,11.1,11.1,11.11
Patriotic Rose,1,0,2,10,10.0,30.0,-62.00
Chloe's Puppet,1,0,0,6,16.7,16.7,1583.33
Freecell,1,1,0,3,33.3,66.7,100.00
Exacting,1,0,1,9,11.1,22.2,-48.89
Hazel's Diary,1,0,0,3,33.3,33.3,-50.00
Degrey Lady,1,1,0,9,11.1,22.2,11.11
Totoka Lightning,1,0,0,5,20.0,20.0,300.00
Brobak,1,0,3,6,16.7,66.7,-66.67
Etikaal,1,0,0,8,12.5,12.5,-31.25
Louisiana Man,1,1,1,8,12.5,37.5,37.50
Kentoo,1,0,0,7,14.3,14.3,-42.86
Miss Mamosa,1,0,1,2,50.0,100.0,2950.00
Dam Lucky,1,1,2,8,12.5,50.0,-6.25
Booma Lacka,1,0,0,5,20.0,20.0,20.00
Oh Mona,1,0,0,3,33.3,33.3,-10.00
Quisical Times,1,0,0,2,50.0,50.0,375.00
Checkmate King,1,0,0,5,20.0,20.0,80.00
Norm's Choice,1,0,0,2,50.0,50.0,325.00
Chic Sale,1,1,0,9,11.1,22.2,88.89
Controlthewitness,1,0,0,2,50.0,50.0,65.00
Occhilupo,1,0,1,7,14.3,28.6,-77.14
Hasta La Spec,1,1,1,8,12.5,37.5,-40.00
Mirthdale,1,0,0,8,12.5,12.5,-69.38
Fandango,1,1,0,11,9.1,18.2,72.73
Can Party,1,0,0,2,50.0,50.0,150.00
Uralla Kingdom,1,0,0,2,50.0,50.0,140.00
Purr Itty Kitty,1,1,1,5,20.0,60.0,-60.00
Springtime Girl,1,0,1,9,11.1,22.2,77.78
Pegapus,1,0,0,3,33.3,33.3,-3.33
Alloraine,1,0,0,3,33.3,33.3,-50.00
Miss Vegas,1,0,0,5,20.0,20.0,320.00
Devils Pinch,1,0,0,7,14.3,14.3,-58.57
Artie Stoker,1,1,1,3,33.3,100.0,16.67
The Grogfather,1,0,0,9,11.1,11.1,-33.33
Jodie Irene,1,0,0,4,25.0,25.0,1175.00
All Too Good,1,0,0,3,33.3,33.3,-6.67
Arabisc,1,0,0,3,33.3,33.3,600.00
Sounds of Then,1,1,0,3,33.3,66.7,-50.00
King Bart,1,0,0,4,25.0,25.0,20.00
Maid of Ore,1,0,0,2,50.0,50.0,75.00
Hightower,1,0,1,7,14.3,28.6,200.00
Powertrain,1,0,0,3,33.3,33.3,216.67
Ticket to Paris,1,0,1,6,16.7,33.3,50.00
Little Rich Boy,1,0,1,2,50.0,100.0,450.00
Our Cashier,1,0,0,4,25.0,25.0,425.00
Daytime Dancer,1,1,0,8,12.5,25.0,-18.75
Need Pragmatism,1,0,2,7,14.3,42.9,-7.14
Chat Time,1,2,0,3,33.3,100.0,266.67
Court Clown,1,1,1,5,20.0,60.0,100.00
Magic Palace,1,0,0,2,50.0,50.0,450.00
Allusion,1,0,1,2,50.0,100.0,5.00
Pajados,1,0,3,11,9.1,36.4,90.91
Cleve's Watching,1,1,1,5,20.0,60.0,220.00
Ibiza,1,0,0,8,12.5,12.5,1037.50
Waratah Girl,1,0,1,5,20.0,40.0,-8.00
Freda,1,0,1,5,20.0,40.0,-20.00
Absolute Magic,1,0,1,12,8.3,16.7,-45.83
Thunder Boom,1,0,0,3,33.3,33.3,600.00
Lonberg,1,0,1,7,14.3,28.6,771.43
Shadea Lady,1,1,2,8,12.5,50.0,-37.50
Baby Boo,1,0,0,9,11.1,11.1,-55.56
Duck Feet,1,0,0,4,25.0,25.0,425.00
French Tusson,1,0,0,4,25.0,25.0,100.00
Ilfracombe,1,0,0,3,33.3,33.3,133.33
Ferrocerium,1,0,0,2,50.0,50.0,300.00
Nobelium,1,0,0,6,16.7,16.7,416.67
Hessian,1,0,1,6,16.7,33.3,416.67
Shesapocket Rocket,1,0,1,4,25.0,50.0,675.00
Stonecast,1,1,1,12,8.3,25.0,-70.83
Fillysophycal,1,0,0,5,20.0,20.0,320.00
Paddles,1,1,0,5,20.0,40.0,10.00
Skipper's Call,1,0,0,4,25.0,25.0,-5.00
Noble Rocks,1,0,0,12,8.3,8.3,-29.17
El Phoenix,1,0,0,2,50.0,50.0,110.00
Princess Shari,1,0,1,8,12.5,25.0,-60.00
Regine,1,0,0,2,50.0,50.0,90.00
Tiger's Story,1,0,0,15,6.7,6.7,-72.00
Happens Nomore,1,1,1,11,9.1,27.3,-70.91
Danspur,1,0,0,3,33.3,33.3,2266.67
Southern Gamble,1,2,0,11,9.1,27.3,-78.18
Repatriate,1,0,0,2,50.0,50.0,550.00
Comfort Man,1,0,1,4,25.0,50.0,25.00
The Full Monty,1,0,0,4,25.0,25.0,675.00
All Summer Long,1,0,0,4,25.0,25.0,300.00
Plucky George,1,0,1,9,11.1,22.2,-48.89
Grinding Hard,1,0,1,8,12.5,25.0,1162.50
Just Elated,1,0,0,5,20.0,20.0,280.00
Cap Gris Nez,1,0,0,3,33.3,33.3,40.00
Vicious Vilma,1,0,2,11,9.1,27.3,-70.91
Swipe Me Right,1,0,0,6,16.7,16.7,83.33
The Star Legend,1,0,0,3,33.3,33.3,333.33
Lady No More,1,0,0,7,14.3,14.3,-68.57
Alentours,1,1,0,7,14.3,28.6,-72.14
Zeze Ulater,1,0,1,8,12.5,25.0,6.25
Atomic Wizard,1,1,0,3,33.3,66.7,266.67
Kristensen,1,0,0,5,20.0,20.0,50.00
Hussning,1,0,0,6,16.7,16.7,-8.33
Better Be Cautious,1,0,0,4,25.0,25.0,400.00
Redeem Bounty,1,0,0,6,16.7,16.7,-41.67
Megamind,1,1,1,8,12.5,37.5,-25.00
Yukon Gold,1,0,2,15,6.7,20.0,-46.67
Srbska,1,0,0,4,25.0,25.0,100.00
Magic Alliance,1,0,0,3,33.3,33.3,66.67
Partybus,1,0,0,6,16.7,16.7,25.00
Hindley Street,1,1,1,7,14.3,42.9,-70.00
Cavellton,1,0,0,4,25.0,25.0,62.50
Flaming Pro,1,0,1,9,11.1,22.2,-11.11
Eillod,1,0,0,6,16.7,16.7,-33.33
Red Russian,1,0,0,2,50.0,50.0,200.00
Gazimber,1,0,0,3,33.3,33.3,366.67
Woodditton,1,0,0,3,33.3,33.3,6.67
Wiener Waltz,1,0,1,3,33.3,66.7,33.33
Bardor,1,0,0,2,50.0,50.0,22.50
Iva Lilo,1,0,0,2,50.0,50.0,400.00
Burn'm,1,0,0,3,33.3,33.3,433.33
My Boy Nugget,1,0,0,6,16.7,16.7,1250.00
Prozone,1,0,0,12,8.3,8.3,-58.33
Universal Warrior,1,0,0,6,16.7,16.7,-8.33
Day Trader,1,0,1,2,50.0,100.0,300.00
Laurensen,1,0,0,4,25.0,25.0,37.50
Sireeanna,1,1,0,5,20.0,40.0,10.00
Arc Light,1,0,0,10,10.0,10.0,910.00
Wrong Bias,1,0,0,3,33.3,33.3,766.67
Gee Gees Doubleyou,1,0,0,2,50.0,50.0,150.00
Son of a Fox,1,1,2,9,11.1,44.4,-81.11
Raknikar,1,1,0,2,50.0,100.0,30.00
Salty,1,1,0,6,16.7,33.3,-56.67
Muckup,1,0,2,11,9.1,27.3,-50.00
Rathdowney Avenue,1,2,0,12,8.3,25.0,-50.00
Lucid Kiss,1,0,2,7,14.3,42.9,-14.29
Ancient Hope,1,0,0,4,25.0,25.0,-32.50
Real Easy,1,1,1,8,12.5,37.5,50.00
Miss Elegance,1,1,0,6,16.7,33.3,-53.33
Coupe de Ville,1,1,0,4,25.0,50.0,-27.50
Music Scene,1,0,1,7,14.3,28.6,-14.29
Swoop,1,0,0,7,14.3,14.3,157.14
Grenache,1,0,2,14,7.1,21.4,-71.43
You Are Idyllic,1,0,1,11,9.1,18.2,-27.27
Parisians,1,1,1,7,14.3,42.9,-54.29
Brother Rand,1,0,1,10,10.0,20.0,-10.00
Who Shot Who,1,0,0,2,50.0,50.0,300.00
Rocket 'n' Ruby,1,0,1,4,25.0,50.0,-57.50
No Nonsense Ned,1,0,1,7,14.3,28.6,-54.29
Amelda,1,0,0,5,20.0,20.0,-20.00
Westport,1,0,0,2,50.0,50.0,-46.50
Shigeru Mahogany,1,1,0,4,25.0,50.0,-17.50
Moralto,1,0,0,3,33.3,33.3,1266.67
Rostam,1,0,0,3,33.3,33.3,83.33
Centre Divider,1,1,0,8,12.5,25.0,-56.25
Enough Swagger,1,1,0,4,25.0,50.0,-47.50
Goway Girl,1,0,0,9,11.1,11.1,0.00
Easy Tiger,1,0,0,6,16.7,16.7,41.67
Another Jay Brown,1,0,0,13,7.7,7.7,100.00
