Horses,1st,2nd,3rd,starts,win,place,roi
Nakeeta Jane,3,1,2,8,37.5,75.0,110.00
Manuel,3,3,1,13,23.1,53.8,195.38
Tyzone,3,1,0,9,33.3,44.4,150.00
Moss 'n' Dale,3,0,1,11,27.3,36.4,25.91
Jaameh,3,1,1,9,33.3,55.6,58.89
Time To Reign,3,0,0,6,50.0,50.0,175.83
Irithea,3,2,3,12,25.0,66.7,72.50
Fiery Heights,3,4,0,10,30.0,70.0,412.00
Pohutukawa,3,1,2,9,33.3,66.7,70.56
Bergerac,3,3,0,14,21.4,42.9,260.71
Iconoclasm,3,0,1,10,30.0,40.0,-3.50
I Am a Star,3,0,2,10,30.0,50.0,60.50
Zed Em,3,0,0,4,75.0,75.0,-26.25
Yes Yes Yes,3,1,0,5,60.0,80.0,121.00
Vow And Declare,3,2,2,10,30.0,70.0,124.50
Naantali,3,4,0,14,21.4,50.0,-15.00
Specialism,3,3,0,9,33.3,66.7,-14.44
Wild Planet,3,2,2,7,42.9,100.0,22.86
Valour Road,3,0,0,7,42.9,42.9,18.71
Angelic Ruler,3,2,2,7,42.9,100.0,2.14
Gem Song,3,1,2,9,33.3,66.7,17.78
Winter Bride,3,0,2,8,37.5,62.5,101.25
Etymology,3,2,2,12,25.0,58.3,-25.00
The Velvet King,3,1,0,6,50.0,66.7,47.50
Lamborghini,3,3,1,12,25.0,58.3,34.17
Easy Eddie,3,1,2,8,37.5,75.0,31.88
Tenley,3,0,0,5,60.0,60.0,510.00
Barefoot,3,3,1,11,27.3,63.6,47.27
Man Booker,3,1,0,9,33.3,44.4,-2.22
Exoteric,3,3,1,13,23.1,53.8,-5.38
Native Soldier,3,0,1,7,42.9,57.1,276.43
Defence Missile,3,3,1,13,23.1,53.8,-27.69
Mishani Hustler,3,0,2,8,37.5,62.5,21.25
Alassio,3,1,1,8,37.5,62.5,225.00
Tarwin,3,1,0,4,75.0,100.0,292.50
Turnberry,3,2,1,10,30.0,60.0,177.00
Achernar Star,3,2,1,8,37.5,75.0,96.25
Whispering Brook,3,0,0,5,60.0,60.0,180.00
Li'l Kontra,3,4,2,9,33.3,100.0,41.11
So You Win,3,1,0,8,37.5,50.0,38.75
Kapajack,3,1,1,6,50.0,83.3,259.17
Tactical Advantage,3,3,0,11,27.3,54.5,-28.18
Celebrity Dream,3,1,1,11,27.3,45.5,14.55
Mantastic,3,1,1,8,37.5,62.5,243.75
Come Play With Me,3,2,1,10,30.0,60.0,-32.50
Ready to Prophet,3,1,1,8,37.5,62.5,343.75
Smart Melody,3,0,0,4,75.0,75.0,43.75
Al Galayel,3,3,0,9,33.3,66.7,7.78
Passage of Time,3,2,0,9,33.3,55.6,62.22
Ashlor,3,0,0,8,37.5,37.5,96.88
Vegadaze,3,1,0,5,60.0,80.0,190.00
Tropezina,3,0,0,7,42.9,42.9,164.29
Schabau,3,0,0,3,100.0,100.0,155.00
Prize Catch,3,0,1,12,25.0,33.3,141.67
I Am Someone,3,2,3,10,30.0,80.0,-1.00
Quackerjack,3,1,1,10,30.0,50.0,10.00
Cossetot,3,2,2,9,33.3,77.8,26.11
Flirtini,3,2,3,10,30.0,80.0,-45.50
Silentz,3,2,0,9,33.3,55.6,22.22
Crack the Code,3,0,0,4,75.0,75.0,88.75
Renewal,3,1,2,9,33.3,66.7,10.00
Transact,3,1,2,12,25.0,50.0,22.50
Misty Metal,3,2,1,7,42.9,85.7,41.43
Guizot,3,3,1,13,23.1,53.8,-45.77
Reykjavik,3,3,1,9,33.3,77.8,7.78
Mr Markou,3,0,2,14,21.4,35.7,537.50
Mississippi Delta,3,2,0,7,42.9,71.4,68.57
Tamarack,3,1,3,14,21.4,50.0,153.93
Embrace Me,3,0,1,7,42.9,57.1,671.43
Order Again,3,1,1,9,33.3,55.6,52.22
Bon Amis,3,1,0,5,60.0,80.0,84.00
Isaurian,3,1,2,8,37.5,75.0,-19.38
Spring Charlie,3,2,0,9,33.3,55.6,38.89
Tan Tat Trusting,3,5,0,13,23.1,61.5,8.46
True Attraction,3,2,2,9,33.3,77.8,7.78
